Data Version: 1.0.1.0

[Item ID]	[Item Name]
1	---
2	Potion
3	Mega Potion
4	Antidote
5	Max Potion
6	Ancient Potion
7	Nulberry
8	Ration
9	Well-done Steak
10	Rare Steak
11	Burnt Meat
12	Lifepowder
13	Raw Meat
14	Barrel Bomb
15	Large Barrel Bomb
16	Flash Pod
17	Stone
18	Capture Net
19	Pitfall Trap
20	Shock Trap
21	Whetstone
23	Binoculars
24	Camping Kit
25	Portable BBQ Grill
26	Herb
27	Antidote Herb
28	Honey
29	Bitterbug Broth
30	Flashbug Phosphor
31	Godbug Essence
32	Thunderbug Capacitor
33	Doshaguma Hide
34	Doshaguma Fur
35	Doshaguma Claw
36	Doshaguma Fang
37	Beast Gem
38	Normal Ammo
39	Pierce Ammo
40	Spread Ammo
41	Sticky Ammo
42	Cluster Bomb
43	Flaming Ammo
44	Water Ammo
45	Thunder Ammo
46	Freeze Ammo
47	Dragon Ammo
48	Poison Ammo
49	Paralysis Ammo
50	Sleep Ammo
51	Slicing Ammo
52	Thorngrass Pod
53	Iron Ore
54	Machalite Ore
55	Dragonite Ore
56	Carbalite Ore
57	Earth Crystal
58	Mystery Bone
59	Sturdy Bone
60	Brute Bone
61	Colossal Bone
62	Dragonbone Relic
66	Mandragora
67	Blue Mushroom
69	Burst Pod
70	Screamer Pod
71	Bleeding Pod
72	Dung Pod
73	Trap Tool
74	Exciteshroom
75	Smokenut
76	Ivy
77	Farcaster
80	Balahara Shell
81	Balahara Scale
82	Balahara Skull
83	Balahara Tail
84	Chatacabra Jaw
85	Chatacabra Hide
86	Chatacabra Shell
87	Chatacabra Scale
88	Quematrice Scale
89	Quematrice Hide
90	Quematrice Crest
91	Quematrice Tail
92	Wyvern Gem
93	Herbivore Shell
94	Bulaqchi Shell
95	Talioth Scale
96	Sharp Fang
97	Wingdrake Hide
98	Acute Fang
99	Dung
100	<COLOR FF0000>#Rejected#</COLOR> Item_IT_100
101	Rolled-up Dung
102	Rathian Scale+
103	Rathian Carapace
104	Rathian Webbing
105	Rathian Spike+
106	Rathian Ruby
113	Toadstool
114	Parashroom
115	Sleep Herb
116	Fire Herb
117	Flowfern
118	Snow Herb
119	Dragonfell Berry
120	First-aid Med
121	EZ Ration
122	EZ Flash Bomb
123	EZ Shock Trap
124	EZ Pitfall Trap
125	Gloamgrass Bud
126	Might Seed
127	Adamant Seed
128	Nitroshroom
129	Devil's Blight
130	Blastnut
131	Slashberry
139	Rey Dau Scale
140	Rey Dau Shell
141	Rey Dau Thunderhorn
142	Rey Dau Wingtalon
143	Rey Dau Tail
144	Rey Dau Plate
145	Tranq Blade
151	Smoke Bomb
152	Powercharm
153	Armorcharm
154	Wyvern Ammo
155	Grounding Pod
156	Mystery Orb - Armor
157	Glowing Orb - Armor
158	Ancient Orb - Armor
159	Damaged Weapon Shard
160	Rusted Weapon Shard
161	Ghillie Mantle
162	Fishing Rod
163	Energy Drink
164	Dash Juice
165	Immunizer
166	Cool Drink
167	Hot Drink
168	Demondrug
169	Might Pill
170	Mega Demondrug
171	Armorskin
172	Adamant Pill
173	Mega Armorskin
174	Herbal Medicine
175	Herbal Powder
176	Demon Powder
177	Hardshell Powder
178	Dust of Life
179	Cleanser
180	Poison Smoke Bomb
181	Tranq Bomb
182	Throwing Knife
183	Poison Pod
184	Para Pod
186	Drugged Meat
188	Brightmoss
189	Torch Pod
190	Puddle Pod
191	Bomb Pod
192	Piercing Pod
195	Paint Pod
196	Luring Pod
197	Mega Barrel Bomb
198	First-aid Med+
199	EZ Max Potion
200	EZ Lifepowder
201	EZ Herbal Powder
202	EZ Demon Powder
203	EZ Hardshell Powder
204	EZ Dust of Life
205	EZ Tranq Bomb
206	EZ Dung Pod
207	EZ Sonic Bomb
208	Tinged Meat
209	EZ Large Barrel Bomb
210	EZ Farcaster
211	Poisoned Meat
212	Deodorant
213	Kunafa Cheese
214	Sharp Kunafa Cheese
215	Droolshroom
216	Delishroom
217	Mud Shrimp
218	Turbid Shrimp
219	Fluffy Egg
220	Airy Egg
221	Sild Garlic
222	Specialty Sild Garlic
223	Wild Herb
224	Eastern Honey
225	Monster Chili
226	Jeweled Mullet Roe
227	Wild Seed Oil
228	Truffle Du Conga
229	Sinister Cloth
230	Great Hornfly
231	Windward Aloe
232	Fine Windward Aloe
233	Great Windward Aloe
234	Sandpepper
235	Fiery Sandpepper
236	Fulgurite Shard
237	Pure Fulgurite
238	Thundering Fulgurite
239	Scarlet Amber Shard
240	Fine Scarlet Amber
241	Eternal Scarlet Amber
242	Queensbloom Pollen
243	Shiny Treasure
244	Sparkly Treasure
245	Bulky Treasure
246	Auric Oil
247	Antimite
248	Fine Antimite
249	Antimite Mass
250	Hirabami Molting
251	Wyvernscale Vase
252	Dragonscale Vase
253	Large Goldenscale Vase
254	Wyveria Lantern
255	Mature Wyveria Lantern
256	Origin Wylk Gem
257	Milky Cocoon Web
258	Wylk Pebble
259	Wylk Gem
260	Time-honed Wylk Gem
261	Ancient Fossil
262	Drifting Sea Pot
263	Royal Sea Pot
264	Gobletweed
265	Chaliceweed
266	Nightflower Pollen
267	Fossilized Opal
268	Fossilized Fire Opal
269	Genesis Opal
270	Wyvernsprout
271	Whetfish Fin
272	Sushifish Scale
273	Lala Barina Shell
274	Lala Barina Claw
275	Lala Barina Stinger
276	Lala Barina Certificate
277	Lala Barina Floret
278	Screamer Pod
280	<COLOR FF0000>#Rejected#</COLOR> Item_IT_280
281	Krano Copper
282	Krano Pyrite
283	<COLOR FF0000>#Rejected#</COLOR> Item_IT_283
284	<COLOR FF0000>#Rejected#</COLOR> Item_IT_284
285	Thunder Pod
286	Frost Pod
287	Dragon Pod
288	Fresh Honey
289	Frostburst
290	Dragonstrike Nut
291	Bomberry
292	Chatacabra Certificate
293	Chatacabra Scale+
294	Chatacabra Jaw+
295	Chatacabra Hide+
296	Chatacabra Carapace
